HW1;HW2;HW3;HW57;HW53
31;15.8;94.1;4;12.7
56;16.1;105.5;4;12.5
28;12.2;86;4;13.5
50;18.2;105;4;12.3
58;23;112;4;13.2
43;18;102.4;4;12.2
56;22.1;112.7;4;13
43;13.8;96.4;4;12.4
33;12.6;94;4;12.8
6;8.3;65.6;3;11.5
18;12.3;81.3;4;12.5
47;18.4;101;4;12.4
34;13.9;95.2;4;12.6
25;11.6;84;3;11.7
30;12.4;90.7;4;13.2
30;13.9;90.2;3;12
21;10.4;81;4;12.4
45;16.3;98.8;3;11.7
35;14;91.3;4;13.4
21;9;80.6;3;11.2
15;9.4;74;3;11.5
46;13;92.5;4;14.3
37;14.7;94.1;4;11.5
58;14.1;100.9;4;11.2
13;8.8;73.6;3;10.2
29;12.8;90.2;4;12.5
15;12.1;81.2;3;10.8
25;15.1;88.9;3;10.8
19;10.6;80.4;4;11.5
10;8.8;72.1;4;11.5
24;11.6;84.2;4;11.7
21;11;87.4;3;10.7
39;13.8;92.6;4;12.4
28;11.6;87.2;4;12.1
58;17.5;104.7;4;13.3
36;12.8;96.1;4;14.2
35;12.5;88.3;4;11.6
24;10.3;82.8;4;11.6
39;13.4;94.1;4;12.6
47;17;102.5;4;12.6
40;13.2;93.5;4;11.2
10;7.6;68.8;3;10.5
10;7.2;68.2;3;10.5
34;15.6;94;4;11.5
29;12.5;89;4;12.3
54;19.4;105.9;4;11.9
45;13.4;92.6;4;11.4
54;15.6;100.3;4;12.5
26;12.7;81;4;13.3
57;16.3;106.1;4;11.5
27;12.3;87.3;4;12.9
47;19.1;105.8;3;10.4
45;15.8;104.1;4;11.7
52;17.6;107;4;12
11;8.3;70.6;3;10.5
39;15.4;96.9;3;10.9
43;14.5;100.2;4;13.1
20;10.6;83.6;4;11.1
59;13.5;100.4;4;11.6
50;16.4;98.8;4;11.6
38;23.2;98.9;4;13.9
23;11.5;84;4;12.7
8;8.3;68.8;4;11
36;16.2;95.1;3;10.6
59;18.6;103.6;3;10.2
18;10.5;79.9;4;11.2
24;14.6;87.2;4;11.6
21;12.4;82.8;4;11.5
22;11.6;84.7;4;11.6
47;17.5;102.4;4;12
54;18.1;102.2;4;13.5
28;11.5;87.3;4;11.8
9;8.6;67.7;3;10.5
54;12.5;95;4;14
8;7.8;67.3;2;9.9
30;12;87.2;4;13.2
24;9.4;76.2;4;11.9
38;13.6;94;4;13.8
22;11.8;79.8;4;12.9
34;14.2;92.4;4;12.7
17;10.3;79.5;4;11.5
43;13.2;98.9;3;10.6
46;16;102;4;12.1
43;15.2;92;4;12.2
31;14.4;87.7;4;11.3
29;12.8;88.7;4;13.3
46;14.7;94.7;4;12.9
20;10.5;80;4;11.7
44;13.9;95.4;4;11.2
14;9.1;73.7;4;12.2
47;14.5;98.5;4;14.5
